X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
724.13,13.68,0.86,0.31,6.83,16,15.69,14.83,14.39,19.1,0.31,0.86,0.44
1404.95,19.9,1.56,0.7,7.79,18.05,17.35,15.79,15.01,16.8,0.7,1.56,0.78
1727.87,21.62,0.93,0.22,7.56,16.71,16.49,15.56,15.16,16.2,0.22,0.93,0.4
371.62,24.1,1.06,0.75,7.63,17.44,16.69,15.63,15.11,20.6,0.75,1.06,0.52
1486.9,24.66,0.67,0.08,5.74,14.49,14.41,13.74,13.4,16.6,0.08,0.67,0.34
1848,26.07,0.73,0.14,5.57,14.44,14.3,13.57,13.23,16,0.14,0.73,0.34
1186.48,41.73,1.42,1.15,5.33,15.9,14.75,13.33,12.61,17.3,1.15,1.42,0.72
351.33,42.24,0.47,0.19,6.02,14.68,14.49,14.02,13.82,20.6,0.19,0.47,0.2
1625.04,73.2,0.75,0.17,7.3,16.22,16.05,15.3,14.9,16,0.17,0.75,0.4
1752.77,74.52,0.38,0.19,5.44,14.01,13.82,13.44,13.3,15.7,0.19,0.38,0.14
247.57,100.03,0.59,-0.06,6.77,15.3,15.36,14.77,14.51,20.7,-0.06,0.59,0.26
1596.43,105.11,0.71,0.12,6.83,15.66,15.54,14.83,14.49,15.8,0.12,0.71,0.34
1504.64,111.08,0.61,0.18,7.95,16.74,16.56,15.95,15.71,16,0.18,0.61,0.24
1045.88,118.29,0.69,0.2,5.79,14.68,14.48,13.79,13.44,17.3,0.2,0.69,0.35
1905.46,121.08,0.91,0.31,6.99,16.21,15.9,14.99,14.54,15.2,0.31,0.91,0.45
1815.86,126.34,0.56,0.15,6.03,14.74,14.59,14.03,13.74,15.3,0.15,0.56,0.29
1701.39,144.2,0.75,0.4,7.5,16.65,16.25,15.5,15.07,15.4,0.4,0.75,0.43
1176.73,159.36,0.7,0.09,6.45,15.24,15.15,14.45,14.13,16.6,0.09,0.7,0.32
1039.19,159.65,0.72,0.2,6.56,15.48,15.28,14.56,14.16,17,0.2,0.72,0.4
1623.56,160.01,0.49,0.14,7.4,16.03,15.89,15.4,15.2,15.4,0.14,0.49,0.2
1926.95,187.39,0.59,0.37,7.23,16.19,15.82,15.23,14.99,14.7,0.37,0.59,0.24
832.18,203.2,0.21,0.08,3.52,11.81,11.73,11.52,11.44,17.6,0.08,0.21,0.08
1824.16,273,0.68,0.14,5.37,14.19,14.05,13.37,13.03,14.3,0.14,0.68,0.34
46.22,273.65,0.57,0.37,7.33,16.27,15.9,15.33,15.12,20.9,0.37,0.57,0.21
311.81,278.67,0.88,0.49,7.9,17.27,16.78,15.9,15.39,19.5,0.49,0.88,0.51
81.88,286.98,1.3,0.89,5.82,16.01,15.12,13.82,13.16,20.6,0.89,1.3,0.66
653.57,289.87,0.86,0.29,7.81,16.96,16.67,15.81,15.23,17.8,0.29,0.86,0.58
832.45,290.38,0.56,0.33,6.24,15.13,14.8,14.24,13.94,17.1,0.33,0.56,0.3
1582.25,316.65,1.03,0.41,7.88,17.32,16.91,15.88,15.32,14.4,0.41,1.03,0.56
